,Title,Views,Posted,link
0,Lamborghini Aventador vs Tesla Model X - DRAG & ROLLING RACE - Can an EV SUV beat a supercar?,18M views,1 year ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
1,RS 3 v A45 AMG v Civic Type R v Golf R v Focus RS - DRAG & ROLLING RACE | Head-to-Head,14M views,2 years ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
2,"Lamborghini Aventador S v Tesla Model S P100D - DRAG RACE, ROLLING RACE & BRAKE TEST",12M views,1 year ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
3,"Tesla Model S v AMG GT 4 v BMW M5 v Porsche Panamera Turbo S - DRAG RACE, ROLLING RACE & BRAKE TEST",11M views,1 year ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
4,Lamborghini Urus v Tesla Model X v Mercedes-AMG G63 v Range Rover Sport SVR - DRAG & ROLLING RACE,11M views,1 year ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
5,"AMG GT C vs Audi R8 vs McLaren 570S vs BMW i8 - Roadsters ROOF, DRAG and ROLLING RACE!",11M views,1 year ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
6,"AMG A35 v BMW M140i v Golf R v Audi S3 v Focus RS - DRAG RACE, ROLLING RACE & BRAKE TEST",9.8M views,1 year ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
7,"Lamborghini Aventador S Roadster vs McLaren 720S Spider - DRAG RACE, ROLLING RACE & BRAKE TEST",8.8M views,1 year ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
8,BMW M5 v M4 v M2 v M6 - DRAG & ROLLING RACE,8.6M views,2 years ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
9,"New 911 vs GT-R NISMO vs Audi R8 vs BMW M850i - DRAG RACE, ROLLING RACE & BRAKE TEST",7.9M views,1 year ago,https://www.youtube.com/c/carwow/videos?view=0&sort=p&flow=grid
